n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,initial_learning_rate,final_learning_rate,AUC
200,1001,,16,200,0.5,False,True,False,0.001,1e-05,0.733548925778
200,1501,,16,200,0.5,False,True,False,0.001,1e-05,0.743400597271
200,2001,,16,200,0.5,False,True,False,0.001,1e-05,0.751064017189
200,2501,,16,200,0.5,False,True,False,0.001,1e-05,0.7543944227
200,3001,,16,200,0.5,False,True,False,0.001,1e-05,0.758397365571
200,3501,,16,200,0.5,False,True,False,0.001,1e-05,0.759802170363
200,4001,,16,200,0.5,False,True,False,0.001,1e-05,0.763846655645
200,4501,,16,200,0.5,False,True,False,0.001,1e-05,0.765574166207
200,5001,,16,200,0.5,False,True,False,0.001,1e-05,0.76961021243
200,5501,,16,200,0.5,False,True,False,0.001,1e-05,0.76919655827
200,6001,,16,200,0.5,False,True,False,0.001,1e-05,0.769314445803
200,6501,,16,200,0.5,False,True,False,0.001,1e-05,0.769380531952
200,7001,,16,200,0.5,False,True,False,0.001,1e-05,0.76938947249
200,7501,,16,200,0.5,False,True,False,0.001,1e-05,0.769437205925
200,8001,,16,200,0.5,False,True,False,0.001,1e-05,0.769455808566
200,8501,,16,200,0.5,False,True,False,0.001,1e-05,0.769363923932
200,9001,,16,200,0.5,False,True,False,0.001,1e-05,0.769337970476
200,9501,,16,200,0.5,False,True,False,0.001,1e-05,0.769370603184
200,10001,,16,200,0.5,False,True,False,0.001,1e-05,0.769350577154
200,501,,16,50,0.5,True,True,False,0.001,1e-05,0.740508905865
200,1001,,16,50,0.5,True,True,False,0.001,1e-05,0.762299260323
200,1501,,16,50,0.5,True,True,False,0.001,1e-05,0.770012711086
200,2001,,16,50,0.5,True,True,False,0.001,1e-05,0.780565175139
200,2501,,16,50,0.5,True,True,False,0.001,1e-05,0.776868140665
200,3001,,16,50,0.5,True,True,False,0.001,1e-05,0.778144744693
200,3501,,16,50,0.5,True,True,False,0.001,1e-05,0.781255685721
200,4001,,16,50,0.5,True,True,False,0.001,1e-05,0.781777787191
200,4501,,16,50,0.5,True,True,False,0.001,1e-05,0.78247821436
200,5001,,16,50,0.5,True,True,False,0.001,1e-05,0.784420319111
200,5501,,16,50,0.5,True,True,False,0.001,1e-05,0.784437993615
200,6001,,16,50,0.5,True,True,False,0.001,1e-05,0.784518731538
200,6501,,16,50,0.5,True,True,False,0.001,1e-05,0.784500375682
200,7001,,16,50,0.5,True,True,False,0.001,1e-05,0.78450301066
200,7501,,16,50,0.5,True,True,False,0.001,1e-05,0.784684079554
200,8001,,16,50,0.5,True,True,False,0.001,1e-05,0.784706927848
200,8501,,16,50,0.5,True,True,False,0.001,1e-05,0.784692909705
200,9001,,16,50,0.5,True,True,False,0.001,1e-05,0.784745427065
200,9501,,16,50,0.5,True,True,False,0.001,1e-05,0.784818939938
200,10001,,16,50,0.5,True,True,False,0.001,1e-05,0.784735220796
