n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,multi_granined_outmode,initial_learning_rate,final_learning_rate,AUC
200,6501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767432099574
200,7001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767328661686
200,7501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767552308874
200,8001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767810568481
200,8501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767987113434
200,9001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768216038087
200,9501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768314293862
200,10001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768538718387
200,10501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768656319406
200,11001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768763253914
200,11501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768828827898
200,12001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768594911399
200,12501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768365301813
200,13001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767997913977
200,13501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767816413792
200,14001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.767961257001
200,14501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768333685245
200,15001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768512090916
200,15501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.76861634349
200,16001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768748323955
200,16501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.76876182377
200,17001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768903561116
200,17501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.769017556093
200,18001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.769135088407
200,18501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768994204411
200,19001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768788337128
200,19501,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768444497893
200,20001,,16,200,0.5,False,True,False,max,0.001,1e-05,0.768187756071
200,501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.686247573695
200,1001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.73503515604
200,1501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.742346097873
200,2001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.746502336408
200,2501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.748188106757
200,3001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.749142667716
200,3501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.750246226116
200,4001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.750836172126
200,4501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.751680707786
200,5001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.752806101739
200,5501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.752830055682
200,6001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.752794817563
200,6501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.75267330614
200,7001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.752691286936
200,7501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.752871261022
200,8001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753035806156
200,8501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753125051554
200,9001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753256811979
200,9501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753295960823
200,10001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753404951093
200,10501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753480926775
200,11001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753484398087
200,11501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753513676949
200,12001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753442870874
200,12501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753293724302
200,13001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753142478832
200,13501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753160249883
200,14001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753311038274
200,14501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753437187077
200,15001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753506622161
200,15501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753582267029
200,16001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753625427095
200,16501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753704272072
200,17001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753790597745
200,17501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753785842927
200,18001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753805051116
200,18501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753779652324
200,19001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753647903676
200,19501,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753527113563
200,20001,,16,200,0.5,False,True,True,max,0.001,1e-05,0.753436727993
200,501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.69361750764
200,1001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.719634673027
200,1501,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.746919036432
200,2001,,16,200,0.5,False,True,True,mean,0.001,1e-05,0.752313657989
